GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Core,org.owasp.dependencycheck.utils,WriteLockShutdownHook,0,3,0,0,0,1,0,1,0,1
Dependency-Check Core,org.owasp.dependencycheck.utils,WriteLock,193,298,31,27,47,75,29,11,2,9
Dependency-Check Core,org.owasp.dependencycheck.utils,DBUtils,39,22,6,4,13,9,6,3,1,3
Dependency-Check Core,org.owasp.dependencycheck.data.cpe,IndexEntry,35,99,7,7,10,27,10,10,3,10
Dependency-Check Core,org.owasp.dependencycheck.data.cpe,IndexException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core,org.owasp.dependencycheck.data.cpe,CpeMemoryIndex,0,9,0,0,0,3,0,3,0,3
Dependency-Check Core,org.owasp.dependencycheck.data.cpe,NpmCpeMemoryIndex,0,9,0,0,0,3,0,3,0,3
Dependency-Check Core,org.owasp.dependencycheck.data.cpe,AbstractMemoryIndex,70,312,13,17,21,77,14,15,1,13
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionParser.ClassloaderResolver,0,30,2,4,0,8,2,2,0,1
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionParser,39,106,3,1,11,22,2,4,0,4
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionParseException,7,9,0,0,4,4,2,2,2,2
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionRule,118,799,23,129,28,193,25,101,5,45
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionErrorHandler,12,12,0,0,2,4,2,3,2,3
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionHandler,20,211,7,25,5,55,7,21,0,7
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,PropertyType,41,86,3,11,12,26,4,14,1,10
Dependency-Check Core,org.owasp.dependencycheck.data.nexus,NexusV3Search.NexusV3SearchResponseHandler,273,0,32,0,63,0,18,0,2,0
Dependency-Check Core,org.owasp.dependencycheck.data.nexus,NexusV2Search,221,0,18,0,57,0,13,0,4,0
Dependency-Check Core,org.owasp.dependencycheck.data.nexus,MavenArtifact,55,58,0,0,18,19,8,8,8,8
Dependency-Check Core,org.owasp.dependencycheck.data.nexus,NexusV3Search,233,0,22,0,50,0,16,0,5,0
